Date,Hour,committed_mw,num_committed
2019-02-01,10,39771.4,102
2019-02-01,11,38195.3,100
2019-02-01,12,35002.0,97
2019-02-01,13,32267.0,95
2019-02-01,14,30864.2,93
2019-02-01,15,30532.5,91
2019-02-01,16,31399.7,94
2019-02-01,17,33884.5,96
2019-02-01,18,35537.5,98
2019-02-01,19,35537.5,98
2019-02-01,20,35537.5,98
2019-02-01,21,34165.9,96
2019-02-01,22,31681.1,94
2019-02-01,23,29448.1,90
2019-02-02,0,27993.9,89
2019-02-02,1,26165.9,86
2019-02-02,2,26165.9,86
2019-02-02,3,27254.1,87
2019-02-02,4,28525.5,90
2019-02-02,5,30203.5,92
2019-02-02,6,29703.0,92
2019-02-02,7,33349.2,94
2019-02-02,8,34385.2,95
2019-02-02,9,34235.2,94
2019-02-02,10,34235.2,94
2019-02-02,11,33699.7,93
2019-02-02,12,31904.3,92
2019-02-02,13,29198.5,89
2019-02-02,14,28266.5,88
2019-02-02,15,26135.6,85
2019-02-02,16,28256.6,90
2019-02-02,17,31678.6,94
2019-02-02,18,33971.9,96
2019-02-02,19,33971.9,96
2019-02-02,20,33971.9,96
2019-02-02,21,32534.4,94
2019-02-02,22,30049.6,92
2019-02-02,23,27241.1,88
2019-02-03,0,24156.5,83
2019-02-03,1,22382.5,80
2019-02-03,2,21287.5,77
2019-02-03,3,21287.5,77
2019-02-03,4,21287.5,77
2019-02-03,5,22176.0,80
2019-02-03,6,23068.0,81
2019-02-03,7,25566.2,84
2019-02-03,8,28845.5,90
2019-02-03,9,29295.5,91
2019-02-03,10,29295.5,91
2019-02-03,11,29295.5,91
2019-02-03,12,28432.1,89
2019-02-03,13,26316.9,86
2019-02-03,14,26316.9,86
2019-02-03,15,26316.9,86
2019-02-03,16,27405.1,87
2019-02-03,17,28863.5,90
2019-02-03,18,30331.0,92
2019-02-03,19,30331.0,92
2019-02-03,20,30331.0,92
2019-02-03,21,28150.1,89
2019-02-03,22,27238.5,87
2019-02-03,23,24517.5,83
2019-02-04,0,22138.8,78
2019-02-04,1,22304.4,79
2019-02-04,2,22304.4,79
2019-02-04,3,23092.8,80
2019-02-04,4,25177.7,83
2019-02-04,5,29899.6,91
2019-02-04,6,33950.0,95
2019-02-04,7,33950.0,95
2019-02-04,8,34100.0,96
2019-02-04,9,34100.0,96
2019-02-04,10,34100.0,96
2019-02-04,11,34100.0,96
2019-02-04,12,32304.6,95
2019-02-04,13,32979.4,95
2019-02-04,14,33311.7,95
2019-02-04,15,33560.7,96
2019-02-04,16,35577.1,98
2019-02-04,17,38513.3,100
2019-02-04,18,39839.2,102
2019-02-04,19,39839.2,102
2019-02-04,20,39839.2,102
2019-02-04,21,38374.5,100
2019-02-04,22,34740.7,97
2019-02-04,23,30017.0,92
2019-02-05,0,28045.0,89
2019-02-05,1,25716.5,86
2019-02-05,2,25566.5,85
2019-02-05,3,25886.9,87
2019-02-05,4,26975.1,88
2019-02-05,5,31143.1,93
2019-02-05,6,33206.6,96
2019-02-05,7,33206.6,96
2019-02-05,8,33206.6,96
2019-02-05,9,33206.6,96
2019-02-05,10,33206.6,96
2019-02-05,11,32267.0,95
2019-02-05,12,32267.0,95
2019-02-05,13,30645.6,93
2019-02-05,14,30645.6,93
2019-02-05,15,30645.6,93
2019-02-05,16,30645.6,93
2019-02-05,17,33052.7,96
2019-02-05,18,36452.1,99
2019-02-05,19,38186.1,100
2019-02-05,20,38186.1,100
2019-02-05,21,35044.1,97
2019-02-05,22,33502.5,95
2019-02-05,23,30828.9,93
2019-02-06,0,27559.8,89
2019-02-06,1,25304.9,85
2019-02-06,2,23894.9,83
2019-02-06,3,23894.9,83
2019-02-06,4,25304.9,85
