ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
2019-05-20,3.3002,10,TIME_LIMIT,132.26907300949097,19888573.06
2019-05-21,2.8009,10,TIME_LIMIT,373.12185525894165,15163480.54
2019-05-22,0.9857,10,OPTIMAL,239.8932545185089,18412767.41
2019-05-23,2.3254,10,TIME_LIMIT,253.75838899612427,22736803.46
2019-05-24,1.1284,8,TIME_LIMIT,255.0317690372467,19940002.18
2019-05-25,1.5264,10,TIME_LIMIT,253.9014916419983,16756013.81
2019-05-26,1.4993,10,TIME_LIMIT,254.5108962059021,14297290.22
2019-05-27,0.9837,4,OPTIMAL,524.5270144939423,15071021.76
2019-05-28,1.9331,10,TIME_LIMIT,249.73906064033508,17950965.6
2019-05-29,1.1153,2,TIME_LIMIT,372.3304057121277,19120497.68
2019-05-30,0.9998,4,OPTIMAL,132.90047788619995,17678450.32
2019-05-31,1.1336,10,TIME_LIMIT,250.68038129806519,17236692.7
2019-06-01,1.9776,10,TIME_LIMIT,373.24074602127075,20110396.53
2019-06-02,1.3746,10,TIME_LIMIT,610.5456829071045,16010355.88
2019-06-03,0.986,2,OPTIMAL,153.48518776893616,69256898.76
2019-06-04,0.9996,2,OPTIMAL,55.59025239944458,93384821.34
2019-06-05,0.9,8,OPTIMAL,138.88683342933655,48999788.61
2019-06-06,1.1906,10,TIME_LIMIT,252.77952456474304,23611673.18
2019-06-07,0.9597,3,OPTIMAL,304.5789132118225,21911480.71
2019-06-08,0.9874,10,OPTIMAL,522.6035995483398,25641942.91
2019-06-09,0.9979,2,OPTIMAL,116.14221906661987,19748498.11
2019-06-10,2.342,5,TIME_LIMIT,252.7258219718933,18050701.81
2019-06-11,1.4012,10,TIME_LIMIT,131.75067162513733,16838707.82
2019-06-12,1.0575,10,TIME_LIMIT,251.17272114753723,18315026.6
2019-06-13,0.9995,2,OPTIMAL,192.62221002578735,19418422.84
2019-06-14,1.471,10,TIME_LIMIT,490.3989191055298,19861072.28
2019-06-15,2.8428,10,TIME_LIMIT,612.0626900196075,22625930.91
2019-06-16,4.1123,10,TIME_LIMIT,373.653728723526,15061392.73
2019-06-17,0.7634,10,OPTIMAL,239.55399250984192,19769454.06
2019-06-18,0.4602,10,OPTIMAL,182.40119981765747,67076815.25
2019-06-19,0.8935,7,OPTIMAL,144.30460000038147,101930219.84
2019-06-20,0.7083,10,OPTIMAL,40.19622206687927,104745126.01
2019-06-21,0.6468,2,OPTIMAL,47.99232840538025,905174074.01
2019-06-22,0.9961,10,OPTIMAL,67.97677278518677,23691398.93
2019-06-23,0.953,7,OPTIMAL,129.3471395969391,67704353.81
2019-06-24,0.9995,2,OPTIMAL,82.02012300491333,91947574.27
2019-06-25,0.8129,5,OPTIMAL,163.18975496292114,55432971.71
2019-06-26,0.9682,2,OPTIMAL,126.77098631858826,43048160.22
2019-06-27,0.9988,3,OPTIMAL,88.80344915390015,126086673.93
2019-06-28,0.9953,6,OPTIMAL,86.38436722755432,72735089.1
2019-06-29,0.9379,10,OPTIMAL,111.8020567893982,99627597.04
2019-06-30,1.0246,10,TIME_LIMIT,134.11692452430725,45731794.35
2019-07-01,0.9996,2,OPTIMAL,63.97886419296265,96873422.72
2019-07-02,0.9924,2,OPTIMAL,98.86196160316467,71453147.55
2019-07-03,0.7641,3,OPTIMAL,96.28907990455627,94297578.74
2019-07-04,0.9946,10,OPTIMAL,386.25981068611145,50396579.41
2019-07-05,0.7468,2,OPTIMAL,83.25440073013306,286725351.85
2019-07-06,0.9998,2,OPTIMAL,48.99471402168274,158915119.35
2019-07-07,0.9999,3,OPTIMAL,78.30693054199219,100914368.31
2019-07-08,0.9985,2,OPTIMAL,67.64884233474731,62564782.22
2019-07-09,0.6145,2,OPTIMAL,40.94409489631653,1902847692.69
2019-07-10,0.7902,2,OPTIMAL,44.34786057472229,3250235097.94
2019-07-11,0.8279,10,OPTIMAL,96.84821009635925,117881172.63
2019-07-12,0.8746,10,OPTIMAL,78.89916443824768,69157553.67
2019-07-13,0.9923,10,OPTIMAL,187.71154141426086,27284552.52
2019-07-14,0.9919,8,OPTIMAL,211.0005440711975,22658251.35
2019-07-15,0.9914,2,OPTIMAL,100.10824060440063,81761367.0
2019-07-16,0.5331,3,OPTIMAL,27.2990779876709,698146952.66
2019-07-17,0.8719,2,OPTIMAL,71.11937189102173,188825172.93
2019-07-18,0.9092,5,OPTIMAL,18.264078617095947,1536694782.99
2019-07-19,0.8128,2,OPTIMAL,44.77423596382141,1456751306.5
2019-07-20,0.6157,2,OPTIMAL,98.43723320960999,89835259.98
2019-07-21,0.9998,2,OPTIMAL,209.75251269340515,110859207.06
2019-07-22,0.8072,8,OPTIMAL,111.09350872039795,65794311.0
2019-07-23,0.9997,2,OPTIMAL,182.8036994934082,25155064.82
2019-07-24,1.735,10,TIME_LIMIT,130.08836722373962,27304261.5
2019-07-25,0.9927,9,OPTIMAL,223.96380639076233,22992281.95
2019-07-26,1.1316,10,TIME_LIMIT,249.86569142341614,25046834.86
2019-07-27,0.6307,3,OPTIMAL,108.19326853752136,68652898.18
2019-07-28,0.8226,2,OPTIMAL,50.074801445007324,99249440.2
2019-07-29,0.9612,6,OPTIMAL,134.8917372226715,69124415.16
2019-07-30,0.3939,2,OPTIMAL,29.714330434799194,4159853438.45
2019-07-31,0.9902,2,OPTIMAL,44.096246004104614,2777010308.43
2019-08-01,0.997,2,OPTIMAL,121.41461968421936,140394442.29
2019-08-02,0.6054,2,OPTIMAL,73.85064911842346,126900941.64
2019-08-03,0.965,10,OPTIMAL,175.04983186721802,24341433.72
2019-08-04,0.9276,10,OPTIMAL,298.8835446834564,25286400.51
2019-08-05,0.6301,2,OPTIMAL,103.28573536872864,349897435.68
2019-08-06,0.2904,2,OPTIMAL,46.28692865371704,1041969565.79
2019-08-07,0.7517,2,OPTIMAL,49.039989948272705,1750047658.98
2019-08-08,0.2556,10,OPTIMAL,101.6076328754425,554427814.3
2019-08-09,0.3172,2,OPTIMAL,25.389322996139526,1203164696.21
2019-08-10,0.8861,2,OPTIMAL,42.085293769836426,774970142.93
2019-08-11,0.9495,2,OPTIMAL,30.909221410751343,702102736.82
